Kota,Suhu,Kondisi,Waktu
Kota Bandung, ID,26.4°C,Hujan Sedang,2025-11-12T15:11:44.769579900
Kota Denpasar, ID,28.8°C,Awan Tersebar,2025-11-12T15:11:48.060367300
Dubai, AE,31.0°C,Langit Cerah,2025-11-12T15:11:50.577064100
Jakarta, ID,32.1°C,Awan Tersebar,2025-11-12T15:11:53.203849600
London, GB,14.0°C,Awan Mendung,2025-11-12T15:11:56.246458500
Kota Makassar, ID,31.0°C,Awan Tersebar,2025-11-12T15:11:58.399481100
Kota Medan, ID,30.0°C,Awan Tersebar,2025-11-12T15:12:01.478752300
Kota Palembang, ID,29.1°C,Awan Tersebar,2025-11-12T15:12:11.599073
Paris, FR,8.9°C,Langit Cerah,2025-11-12T15:12:14.456388900
Kota Samarinda, ID,27.5°C,Hujan Sedang,2025-11-12T15:12:17.493011900
Kota Semarang, ID,28.8°C,Awan Tersebar,2025-11-12T15:12:20.630084900
Seoul, KR,15.3°C,Langit Cerah,2025-11-12T15:12:23.462991200
Singapore, SG,30.5°C,Awan Pecah,2025-11-12T15:12:27.353002
Kota Surabaya, ID,29.5°C,Hujan Rintik-rintik,2025-11-12T15:12:32.124392500
Tokyo, JP,13.9°C,Langit Cerah,2025-11-12T15:12:35.096224300
Daerah Istimewa Yogyakarta, ID,26.2°C,Hujan Rintik-rintik,2025-11-12T15:12:37.562423400
